roundid,formula1,formula2,formula3,formula4,result
1704060449.2484605,B,B,Null,B,Player A
1703744948.093279,B,A,Null,B,Player A
1703066092.50408,B,A,Null,B,Player B
1703394437.8634222,B,A,Null,A,Player A
1703766900.6088488,A,A,Null,A,Player B
1702993895.5250652,B,A,A,B,Player A
1703466132.5818524,B,A,Null,B,Player A
1703344904.8300834,B,A,B,B,Player A
1703375038.0479188,B,A,Null,A,Player B
1704306257.9620438,B,A,A,B,Player B
1702983681.1561308,B,A,Null,B,Player A
1703451804.7924943,B,A,B,B,Player B
1702983776.7192721,B,B,Null,B,Player B
1702864256.333791,B,A,Null,B,Player A
1702932182.9510522,A,A,Null,A,Player A
1703442403.7680793,B,A,Null,B,Player B
1703905263.8577666,B,A,Null,A,Player B
1703900585.9330602,B,A,Null,B,Player A
1704046303.5734222,B,A,Null,A,Player A
1702864813.9537234,B,A,A,B,Player A
1702933589.2417326,B,A,Null,B,Player B
1702641271.4009469,B,A,A,B,Player B
1703225277.6906831,A,A,Null,B,Player A
1703685642.890304,A,A,Null,B,Player B
1703220439.3755229,B,A,A,B,Player A
1704259932.6207874,B,B,Null,B,Player A
1704245751.2515392,B,A,A,B,Player A
1703690035.3218918,B,A,A,B,Player B
1703693770.597247,B,B,Null,B,Player A
1703686744.874673,B,A,Null,B,Player A
1704078698.883796,B,B,Null,B,Player B
1703813178.1161408,B,A,Null,B,Player A
1703664983.9422078,B,B,Null,B,Player B
1703840452.002018,B,B,Null,B,Player B
1703784339.0726712,B,A,A,B,Player A
1703784820.594858,B,A,B,B,Player A
1703359709.059902,B,A,Null,B,Player B
1703855645.1926627,B,B,Null,B,Player B
1703756600.2076514,B,A,B,B,Player B
1704182920.0740802,A,A,Null,B,Player B
1703336968.5362246,A,A,Null,B,Player B
1703082062.879663,B,A,B,B,Player A
1703420648.3045094,B,A,B,B,Player B
1702795091.0083704,B,A,Null,B,Player B
1702805417.0919771,A,A,Null,B,Player B
1702976805.8711963,B,B,Null,B,Player A
1703398281.975138,B,B,Null,B,Player B
1702642880.7361853,B,A,Null,B,Player A
1703374538.8644836,B,B,Null,B,Player A
1704361952.499535,B,A,Null,B,Player B
1703224893.9379916,B,A,A,B,Player A
1703796121.7879746,B,A,Null,B,Player A
1703656895.6294105,B,A,A,B,Player A
1703239088.2071693,B,A,Null,B,Player A
1703566215.3121824,B,A,Null,B,Player A
1703368803.597522,B,A,Null,A,Player B
1703678282.0753572,B,A,B,B,Player A
1703582811.1757421,B,A,A,B,Player B
1704084052.0107007,B,B,Null,B,Player A
1703278390.7597404,B,A,Null,B,Player A
1703871821.6122427,B,B,Null,B,Player A
1704170851.8964956,B,A,A,B,Player B
1703857313.9879515,A,A,Null,B,Player B
1703892941.4684896,B,B,Null,B,Player A
1702974588.6957386,A,A,Null,B,Player B
1703769962.3241158,B,A,B,B,Player B
1703675692.5270023,B,B,Null,B,Player B
1703613970.800483,B,B,Null,B,Player A
1703216842.8423076,B,A,B,B,Player B
1704005423.1273794,B,B,Null,B,Player B
1703354577.4666877,A,A,Null,A,Player A
1702644068.9385908,A,A,Null,B,Player A
1702958054.2541997,B,A,Null,B,Player B
1704256667.4118633,B,A,Null,A,Player B
1703362940.8023772,B,A,B,B,Player A
1703968485.2404885,B,B,Null,B,Player A
1702908505.9244735,B,A,Null,B,Player A
1704287901.4852712,B,B,Null,B,Player B
1702790415.8870246,B,A,Null,B,Player A
1703296047.6133082,B,A,Null,B,Player B
1702909414.3540585,B,B,Null,B,Player A
1704252078.8242788,B,A,Null,A,Player B
1703351031.4865882,B,A,Null,B,Player A
1702815202.9059408,A,A,Null,B,Player A
1703054976.8615084,B,A,Null,B,Player A
1704227313.5824778,B,A,A,B,Player A
1703871916.8423522,B,A,Null,A,Player A
1703013902.6431859,B,A,Null,B,Player B
1703545251.2047613,A,A,Null,B,Player B
1703759969.5693614,B,B,Null,B,Player A
1704118239.657015,A,A,Null,B,Player B
1703058127.4721987,B,B,Null,B,Player B
1704222288.9471242,A,A,Null,B,Player A
1704272577.1349335,A,A,Null,B,Player A
1703353995.4765084,B,A,Null,B,Player B
1703122685.3156984,B,A,Null,B,Player A
1703511024.2129598,B,A,B,B,Player B
1702849024.1865697,B,A,Null,B,Player B
1703609782.2214181,B,A,B,B,Player B
1703264480.913794,B,A,B,B,Player B
1703910867.803401,B,B,Null,B,Player A
1703186148.0909696,B,A,B,B,Player A
1704215944.2711768,A,A,Null,B,Player A
1703328312.0658133,B,A,Null,A,Player B
1703309120.6262724,A,A,Null,B,Player B
1703474675.5061822,B,A,Null,A,Player B
1703550228.552503,B,A,B,B,Player B
1703819198.7474535,B,A,Null,B,Player A
1703310124.8398347,B,A,B,B,Player B
1702876773.735717,A,A,Null,B,Player B
1703924948.726787,B,A,B,B,Player B
1704110601.642999,B,A,Null,A,Player B
1703195323.554276,B,B,Null,B,Player B
1704319266.1460285,B,A,B,B,Player B
1703879539.2983842,B,A,Null,B,Player A
1703128094.593858,B,B,Null,B,Player A
1703937416.9576874,B,B,Null,B,Player B
1702941870.8102205,B,B,Null,B,Player B
1704291920.0454895,B,A,Null,B,Player A
1704136707.6028137,B,A,Null,B,Player B
1703689603.3061013,B,A,Null,B,Player A
1703537552.039385,B,B,Null,B,Player A
1704001323.010911,B,A,Null,A,Player B
1704280500.6021547,B,A,B,B,Player B
1704085354.1891413,B,A,Null,B,Player A
1703849607.4174988,B,A,Null,A,Player A
1703432592.5825803,B,B,Null,B,Player B
1703271544.3609934,B,A,B,B,Player B
1703021042.374769,B,A,B,B,Player B
1703647360.1059778,B,A,B,B,Player A
1704053210.524463,B,B,Null,B,Player A
1703090850.188482,B,A,Null,B,Player A
1703239555.8926764,B,A,Null,B,Player A
1703245690.2012463,B,B,Null,B,Player B
1704290606.937112,B,A,B,B,Player A
1703663310.470484,B,A,Null,B,Player B
1702820012.6530638,B,B,Null,B,Player A
1704307367.0992439,B,A,Null,B,Player A
1703568959.2952747,B,A,A,B,Player A
1703848640.3896253,B,A,Null,B,Player A
1704260289.805278,B,B,Null,B,Player B
1702917861.1618958,B,B,Null,B,Player A
1703223649.012608,B,A,Null,B,Player B
1703029118.2115686,B,A,Null,B,Player A
1702945819.790362,B,A,Null,B,Player A
1703443240.532901,B,A,B,B,Player B
1703899232.5724242,B,A,Null,B,Player B
1703688460.4437642,A,A,Null,B,Player A
1703640453.114152,B,A,A,B,Player B
1702936594.458147,B,B,Null,B,Player B
1703174200.1235387,B,A,B,B,Player A
1704100861.102483,B,B,Null,B,Player A
1703122512.890383,B,B,Null,B,Player B
1703318516.4707384,B,A,Null,B,Player B
1704271400.7316916,B,A,B,B,Player B
1703221717.6736648,B,A,Null,B,Player A
1702803304.6958532,B,A,B,B,Player A
1703489851.2128744,B,A,Null,A,Player B
1702960009.3942492,B,B,Null,B,Player B
1703901595.878413,A,A,Null,B,Player B
1703424193.3429837,A,A,Null,B,Player B
1702816339.4653385,B,A,A,B,Player B
1704106322.9311678,B,A,B,B,Player B
1704076741.055398,B,B,Null,B,Player A
1704217892.5295744,B,A,Null,A,Player A
1703819688.877678,B,A,B,B,Player B
1702859153.4148142,B,A,Null,B,Player B
1703954151.6661158,B,A,A,B,Player A
1703655510.7116196,B,B,Null,B,Player B
1703402916.6486597,B,A,Null,B,Player A
1702819928.8548353,B,A,Null,B,Player B
1704297520.794149,B,A,B,B,Player B
1704240062.942589,B,A,B,B,Player B
1703427443.3028562,B,A,Null,B,Player A
1703497427.2025294,B,B,Null,B,Player A
1702941122.0152535,B,A,Null,B,Player B
1703185984.5287747,B,A,B,B,Player B
1703977994.77927,B,B,Null,B,Player B
1704182458.5389657,B,A,Null,B,Player A
1703352962.612246,A,A,Null,B,Player B
1703340999.1752183,B,A,A,B,Player B
1703987002.169004,A,A,Null,B,Player A
1703472406.5145826,A,A,Null,B,Player B
1703444724.8801281,B,A,B,B,Player A
1702694533.811538,B,A,A,B,Player A
1703125990.3726811,B,A,Null,A,Player A
1703636274.358939,B,A,Null,B,Player A
1703047977.6272588,B,A,Null,A,Player A
1704191163.9487922,B,A,Null,A,Player B
1703838961.4570014,B,B,Null,B,Player B
1702914932.7553318,B,B,Null,B,Player B
1703208285.6146975,B,A,Null,B,Player B
1703552476.2292638,B,B,Null,B,Player A
1703907468.94399,B,A,Null,A,Player A
1703345561.559212,B,B,Null,B,Player A
1703519813.0235243,B,A,A,B,Player B
1703572865.3280683,B,B,Null,B,Player A
1704228993.3143759,A,A,Null,B,Player B
1704116392.0501251,B,A,Null,B,Player B
1703855486.031175,B,A,Null,B,Player B
1702790017.4365652,B,A,A,B,Player A
1702784934.0612059,B,A,Null,B,Player B
1703042561.4016082,B,A,Null,B,Player B
1703370737.7312248,B,A,Null,B,Player A
1703260954.7851489,B,B,Null,B,Player A
1703082535.5863688,B,A,Null,A,Player A
1703622980.4471602,A,A,Null,B,Player A
1703700351.9595275,A,A,Null,B,Player A
1702822018.7482948,B,A,Null,B,Player B
1703120265.6618521,B,B,Null,B,Player A
1704072869.3906727,B,B,Null,B,Player B
1703956905.406359,B,A,Null,B,Player A
1703080024.1924143,B,A,B,B,Player B
1702969318.5216107,B,B,Null,B,Player A
1704271573.7400208,B,A,Null,B,Player A
1703804370.4770262,B,A,Null,B,Player A
1703328147.1643918,B,B,Null,B,Player A
1703952295.2483737,A,A,Null,B,Player A
1704345432.3501148,B,A,Null,B,Player B
1703362519.5459363,B,A,A,B,Player B
1703435557.54519,A,A,Null,B,Player B
1703539030.7235045,B,B,Null,B,Player B
1702868650.2948158,B,B,Null,B,Player B
1703997426.3162062,A,A,Null,B,Player B
1704037334.5148728,B,A,Null,B,Player B
1702977495.0555217,A,A,Null,B,Player A
1704334783.8614852,B,B,Null,B,Player A
1703063722.1865058,B,A,B,B,Player A
1703128919.1452127,B,A,A,B,Player B
1703585823.4005587,B,B,Null,B,Player B
1703834344.0179982,A,A,Null,B,Player A
1702944758.5565834,B,B,Null,B,Player B
1703477378.019879,B,A,Null,B,Player B
1704327053.1260772,B,A,A,B,Player B
1703698332.6487317,B,A,Null,B,Player A
1703585535.289647,B,A,A,B,Player B
1703672305.0586216,B,B,Null,B,Player A
1704229661.6673226,B,A,Null,B,Player A
1703189057.1034102,B,A,Null,B,Player A
1703135788.4253695,B,A,Null,B,Player A
1704280917.472272,B,A,A,B,Player B
1703966530.0843341,B,B,Null,B,Player A
1703814349.982948,B,A,Null,B,Player B
1703679943.7168427,B,B,Null,B,Player B
1703009813.1253548,B,A,Null,B,Player B
1704249834.762181,B,B,Null,B,Player A
1702951291.7657812,B,A,A,B,Player B
1702964924.499669,B,A,B,B,Player A
1702802813.7674813,A,A,Null,B,Player B
1704344106.481991,B,A,Null,B,Player A
1704327242.1596284,A,A,Null,B,Player B
1702946600.5367708,A,A,Null,B,Player A
1704226304.9261453,B,A,Null,B,Player B
1703024240.6626914,B,A,B,B,Player B
1703985296.5157895,B,A,Null,B,Player A
1702855421.4782743,B,B,Null,B,Player A
1703788459.6210017,A,A,Null,B,Player A
1702915996.1150396,B,B,Null,B,Player B
1703579902.8841388,A,A,Null,A,Player A
1704261521.4157891,B,A,Null,B,Player A
1704136910.5045033,B,A,Null,A,Player B
1703131940.7457328,A,A,Null,B,Player A
1703745034.4742024,B,A,Null,B,Player B
1704073808.2841008,A,A,Null,B,Player B
1703316427.3240008,B,A,Null,B,Player A
1703996282.8771367,B,A,B,B,Player A
1704340482.277536,B,A,B,B,Player A
1702865922.3090856,B,A,B,B,Player A
1703884519.43419,A,A,Null,B,Player B
1702906652.711142,B,A,Null,B,Player B
1702914026.4286442,A,A,Null,B,Player A
1703767674.3715005,B,B,Null,B,Player B
1703264194.2299013,B,A,Null,B,Player B
1704358614.7438293,B,A,Null,B,Player B
1702990323.6943955,B,A,Null,A,Player A
1703940077.4832666,B,A,Null,A,Player B
1703955821.7127197,B,A,Null,B,Player B
1702948804.3022273,B,A,Null,B,Player B
1702855908.6694715,B,A,Null,B,Player A
1703373866.7581074,B,A,B,B,Player A
1703133956.2647092,B,B,Null,B,Player B
1703455005.4741423,B,B,Null,B,Player B
1703720275.3015292,B,A,A,B,Player A
1703113810.5102227,B,B,Null,B,Player B
1704187261.9339683,B,B,Null,B,Player B
1703265038.5328314,B,B,Null,B,Player B
1703397850.988239,B,A,Null,B,Player B
1703631676.3747876,B,B,Null,B,Player B
1702700728.249695,B,A,Null,B,Player A
1703569680.3395705,B,A,B,B,Player B
1703189948.2629735,B,A,Null,B,Player B
1703293754.6204104,B,A,Null,B,Player B
1703481616.5020194,B,B,Null,B,Player B
1703470882.4829004,A,A,Null,B,Player B
1702880608.486449,B,A,B,B,Player A
1704288557.3577573,A,A,Null,B,Player A
1703940541.8369224,B,A,Null,B,Player B
1704024603.6665494,B,B,Null,B,Player B
1703455853.9476607,B,A,A,B,Player A
1704196946.8023784,A,A,Null,B,Player B
1704279342.7476885,B,A,B,B,Player A
1704234574.6646495,B,A,Null,B,Player A
1702877516.389961,B,B,Null,B,Player B
1703476648.5283518,B,A,B,B,Player B
1702927202.0184057,B,A,Null,B,Player B
1703921647.4978213,B,A,Null,B,Player B
1703341910.853366,B,A,Null,A,Player B
1704177212.1043105,B,B,Null,B,Player A
1702882632.73638,B,B,Null,B,Player B
1704106800.659107,B,A,B,B,Player A
1703204952.5816603,B,B,Null,B,Player A
1703016415.6389213,A,A,Null,B,Player B
1704194651.8000612,B,A,A,B,Player B
1703030471.6964676,B,A,A,B,Player B
1703949394.9487002,B,A,Null,B,Player B
1703659423.2517664,B,A,Null,B,Player B
1704055343.772288,B,A,Null,A,Player B
1703415598.3675292,B,B,Null,B,Player B
1703894584.5228279,B,A,Null,B,Player A
1703333705.2695956,B,B,Null,B,Player A
1704032967.2685633,B,A,Null,A,Player B
1703162995.3310068,B,A,Null,B,Player B
1704169274.4584966,B,A,Null,A,Player B
1704200430.5712798,B,B,Null,B,Player A
1703351531.0224347,B,A,A,B,Player B
1703026361.7910838,B,B,Null,B,Player B
1703884800.6731925,B,A,B,B,Player B
1704031798.8444998,B,B,Null,B,Player B
1703286065.1841247,B,B,Null,B,Player A
1703984737.775689,B,A,A,B,Player A
1703306786.2879531,B,A,Null,B,Player B
1703543537.0833642,B,A,Null,B,Player A
1703057946.9815838,B,A,B,B,Player B
1704149739.3134212,B,A,A,B,Player A
1702827237.3637822,B,A,Null,A,Player A
1704357553.5973115,A,A,Null,B,Player B
1703623291.532896,B,A,A,B,Player A
1704032148.4015257,B,A,Null,B,Player B
1703576950.849434,B,B,Null,B,Player B
1703269630.801072,B,B,Null,B,Player B
1703682932.2640145,B,B,Null,B,Player A
1703462350.173621,B,B,Null,B,Player A
1703026034.00521,B,B,Null,B,Player A
1703910102.128255,B,A,Null,A,Player B
1703880503.959038,B,B,Null,B,Player A
1704279076.222293,B,A,Null,B,Player A
1702644803.018413,B,A,Null,B,Player A
1704260846.0116115,B,A,Null,B,Player A
1703180789.223913,B,A,Null,B,Player B
1702982557.6652126,B,A,Null,B,Player A
1703569041.1545718,B,B,Null,B,Player B
1702880107.9634693,B,A,Null,B,Player A
1703912823.2122927,B,B,Null,B,Player A
1703450646.095517,B,A,Null,B,Player B
1704196041.736382,B,A,Null,B,Player B
1703749678.7541487,B,B,Null,B,Player B
1704109303.9192657,B,A,Null,B,Player B
1704153140.4051268,A,A,Null,B,Player A
1703928415.2115235,A,A,Null,B,Player A
1703487377.6676936,B,A,A,B,Player A
1703050500.2693365,B,A,B,B,Player A
1704079979.930255,A,A,Null,A,Player B
1703936361.4430482,B,A,Null,B,Player A
1703973487.965785,B,B,Null,B,Player B
1703203684.243459,B,A,Null,B,Player B
1704051001.48853,B,A,Null,B,Player B
1703668528.2971776,B,A,B,B,Player B
1703614568.3975627,B,A,B,B,Player B
1704036309.9762237,B,A,Null,B,Player B
1703844532.9475806,B,A,Null,B,Player A
1703962421.0381014,B,B,Null,B,Player A
1703342978.7416167,B,B,Null,B,Player A
1703261693.987893,A,A,Null,B,Player A
1703784020.2681954,B,A,B,B,Player B
1703245362.2558815,B,A,Null,B,Player A
1703446060.7818534,B,A,B,B,Player A
1703053659.7533333,A,A,Null,A,Player A
1703492904.8529592,B,A,B,B,Player B
1703919126.9719982,A,A,Null,B,Player B
1703799600.3088353,B,A,Null,B,Player A
1703444179.4477808,B,A,Null,B,Player B
1704047511.7026672,B,A,A,B,Player A
1704203495.7255926,B,A,Null,B,Player A
1704055801.8089583,B,B,Null,B,Player A
1703777297.2486777,A,A,Null,A,Player A
1702830244.5903785,B,A,B,B,Player B
1703553489.97996,B,B,Null,B,Player B
1703284196.9799159,B,A,Null,B,Player A
1703413417.6575882,B,A,Null,B,Player A
1702779114.6444414,B,B,Null,B,Player B
1703847997.3586726,B,A,Null,B,Player A
1703711416.5648477,B,A,Null,A,Player B
1702953142.2105849,B,A,B,B,Player B
1702893915.3823042,B,A,Null,B,Player A
1704008973.7579737,A,A,Null,B,Player B
1703410309.432923,B,B,Null,B,Player B
1702956927.7503994,B,B,Null,B,Player B
1704315629.6091108,B,A,Null,B,Player B
1704137581.8844981,B,B,Null,B,Player A
1703213537.7031374,B,A,A,B,Player A
1702990993.5264347,B,A,A,B,Player A
1703585915.449464,B,A,Null,B,Player A
1702806326.7898343,B,A,B,B,Player B
1703269892.8001425,B,B,Null,B,Player B
1704028747.069392,B,B,Null,B,Player B
1702889562.7784393,B,A,Null,B,Player B
1702701581.594214,B,B,Null,B,Player B
1704056856.4649706,B,A,Null,B,Player B
1703250110.6016614,B,B,Null,B,Player A
1703070919.1935213,A,A,Null,B,Player A
1703419067.7470322,B,A,Null,A,Player B
1704094384.9581013,B,A,Null,B,Player B
1703266581.0724072,B,B,Null,B,Player A
1703013729.1878636,B,B,Null,B,Player A
1704132347.6233437,B,A,Null,B,Player B
1702942792.1108902,B,A,Null,B,Player B
1703760129.3455431,B,A,Null,B,Player A
1703001374.8780005,B,B,Null,B,Player B
1704323136.7918468,B,A,Null,B,Player B
1704174666.6726096,B,A,B,B,Player B
1702934085.0502365,B,B,Null,B,Player B
1702897788.4218864,A,A,Null,B,Player B
1704139996.628859,B,A,Null,B,Player B
1704030947.925264,B,A,Null,B,Player B
1703700100.2272077,B,A,Null,A,Player A
1704013546.5440226,A,A,Null,B,Player B
1703949967.2960525,B,B,Null,B,Player A
1703901840.4962313,B,A,Null,B,Player A
1702921395.4162166,B,A,Null,A,Player B
1704096293.9233088,B,A,Null,A,Player A
1703661035.2936847,B,A,A,B,Player B
1704149236.3895743,B,B,Null,B,Player B
1703339231.695951,A,A,Null,B,Player B
1703694054.66174,B,B,Null,B,Player B
1703390849.7775028,B,A,Null,B,Player A
1702939172.56172,B,B,Null,B,Player B
1703789764.0636358,B,A,B,B,Player A
1703734900.0702302,A,A,Null,B,Player B
1703955540.2383525,B,A,B,B,Player A
1703414319.5082107,B,A,A,B,Player B
1703804530.8518128,B,A,Null,B,Player B
1703019576.276525,B,B,Null,B,Player B
1702884155.2395446,B,A,Null,B,Player A
1703121096.6675732,B,B,Null,B,Player A
1704273072.8459654,B,B,Null,B,Player A
1703319985.137107,B,B,Null,B,Player B
1703743025.3133166,B,A,Null,A,Player B
1704219034.9983835,B,A,Null,B,Player A
1703289766.8829825,B,A,B,B,Player A
1703349589.0340261,B,B,Null,B,Player B
1703008789.8511481,B,B,Null,B,Player B
1703120343.890761,B,B,Null,B,Player B
1703014568.4039404,A,A,Null,B,Player B
1702698846.4238605,B,A,B,B,Player A
1704068038.1944363,B,B,Null,B,Player A
1703125337.27001,B,A,A,B,Player B
1704218556.1693969,B,B,Null,B,Player A
1703980161.4509175,B,A,Null,B,Player A
1703603180.93087,B,A,B,B,Player A
1703384178.7601051,B,A,Null,B,Player B
1704082095.1025174,B,A,A,B,Player A
1703736771.079152,B,A,A,B,Player A
1703086335.2845411,A,A,Null,A,Player A
1704185347.4789157,B,A,Null,B,Player B
1703959359.5571458,B,A,A,B,Player A
1704312159.9848921,B,A,A,B,Player A
1702939829.3654,B,B,Null,B,Player A
1704081925.1011677,B,A,Null,A,Player B
1703676498.5417528,B,A,Null,B,Player B
1704094462.7899826,A,A,Null,B,Player B
1703938216.0584166,B,A,Null,A,Player B
1703593660.0402594,B,A,B,B,Player B
1702985450.7130456,B,B,Null,B,Player A
1703969752.7147543,B,B,Null,B,Player B
1704291325.8592176,B,B,Null,B,Player A
1703541075.2679148,B,A,Null,B,Player B
1703640045.5722053,B,A,Null,B,Player A
1704000585.397649,B,B,Null,B,Player A
1703913324.2821383,B,A,B,B,Player B
1703387271.8009367,B,A,A,B,Player A
1703729653.4172041,B,A,A,B,Player B
1702977751.069742,B,A,Null,B,Player B
1704209493.5949728,B,A,Null,B,Player A
1703931349.9969084,B,A,Null,B,Player A
1703953967.0697591,B,A,Null,B,Player A
1704172384.7731497,B,A,Null,B,Player B
1703758219.807184,B,A,Null,B,Player A
1703202264.5814462,A,A,Null,B,Player B
1703809675.3398592,B,A,A,B,Player A
1703783596.7820606,B,A,Null,B,Player B
1703521323.5443172,B,B,Null,B,Player B
1703251648.155113,B,A,Null,B,Player A
1703051606.8010979,B,A,Null,B,Player B
1702924381.838719,B,A,Null,B,Player B
1703514547.7861001,B,B,Null,B,Player A
1704017796.7735786,B,A,Null,B,Player B
1703598852.679427,B,B,Null,B,Player B
1703772178.4329123,B,B,Null,B,Player A
1702907568.022264,A,A,Null,B,Player B
1703589522.238017,B,A,Null,B,Player A
1703050150.816974,B,B,Null,B,Player A
1703000946.5221767,B,A,B,B,Player A
1703989265.9624918,B,B,Null,B,Player B
1703089550.7374554,B,B,Null,B,Player B
1702985985.759212,B,B,Null,B,Player A
1704236772.8100507,B,B,Null,B,Player B
1703612644.8191006,A,A,Null,B,Player A
1703028545.2882073,B,A,Null,B,Player A
1703274840.040877,B,A,Null,A,Player A
1703549864.3988008,A,A,Null,B,Player A
1703687971.5697536,B,A,A,B,Player B
1703451145.8818455,B,A,Null,A,Player A
1703259492.1655939,B,A,Null,B,Player A
1704090376.604517,B,A,Null,B,Player B
1704176947.23635,B,A,Null,B,Player A
1703552562.194165,B,A,B,B,Player A
1704039970.369818,B,B,Null,B,Player B
1704022612.1214583,B,B,Null,B,Player B
1703673964.2575088,A,A,Null,A,Player B
1704134378.0964549,B,B,Null,B,Player B
1702808166.2962956,B,A,B,B,Player A
1704090623.8122628,B,A,Null,B,Player A
1703375548.125729,B,A,B,B,Player B
1702913170.7890542,B,A,Null,B,Player A
1703996692.2461538,B,B,Null,B,Player B
